,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
9168,,,,,,,,,,,,,,,,,,,,,"Privatst. Solidaritätszuschlag (TH),EK","Private taxes, solidarity surcharge (limited partner), equity"
9169,,,,,,,,,,,,,,,,,,,,,"Privatsteuern Kirchensteuer (TH),EK","Private taxes, church tax (limited partner), equity"
9170,,,,,,,,,,,,,,,,,,,,,Festkapital - Umbuchungen VH,"Fixed capital transfers, general partner"
9171,,,,,,,,,,,,,,,,,,,,,Variables Kapital - Umbuchungen VH,"Variable capital transfers, general partner"
9172,,,,,,,,,,,,,,,,,,,,,Verlust/Vortragskto-Umbuchungen VH,"Accumulated loss carryforward account transfers, general partner"
9173,,,,,,,,,,,,,,,,,,,,,Kapitalkonto III - Umbuchungen VH,"Capital account III transfers, general partner"
9174,,,,,,,,,,,,,,,,,,,,,Ausst. Einlagen n. eingef.-Umbuchung VH,"Unpaid uncalled contributions to general partner capital transfers, general partner"
9175,,,,,,,,,,,,,,,,,,,,,Verr.kto Einzahlver-pfl.-Umbuchungen VH,"Allocation account for call obligations transfers, general partner"
9180,,,,,,,,,,,,,,,,,,,,,Kommandit-Kapital - Umbuchungen TH,"Limited partner capital transfers, limited partner"
9181,,,,,,,,,,,,,,,,,,,,,Variables Kapital - Umbuchungen TH,"Variable capital transfers, limited partner"
9182,,,,,,,,,,,,,,,,,,,,,Verlustausgleichskonto-Umbuchungen TH,"Loss adjustment account transfers, limited partner"
9183,,,,,,,,,,,,,,,,,,,,,Kapitalkonto III - Umbuchungen TH,"Capital account III transfers, limited partner"
9184,,,,,,,,,,,,,,,,,,,,,Ausst. Einlagen n. eingef.-Umbuchung TH,"Unpaid uncalled contributions to limited partner capital transfers, limited partner"
9185,,,,,,,,,,,,,,,,,,,,,Verr.kto Einzahlverpfl.- Umbuchungen TH,"Allocation account for call obligations transfers, limited partner"
9186,,,,,,,,,,,,,,,,,,,,,"Privatst.Kapitalertragsteuer (TH),FK","Private taxes, capital gains tax (limited partner), borrowed capital"
9187,,,,,,,,,,,,,,,,,,,,,"Privatst. Solidaritätszuschlag (TH),FK","Private taxes, solidarity surcharge (limited partner), borrowed capital"
9188,,,,,,,,,,,,,,,,,,,,,"Privatsteuern Kirchensteuer (TH),FK","Private taxes, church tax (limited partner), borrowed capital"
9189,,,,,,,,,,,,,,,,,,,,,Verr.Kto Umbuchung zwischen Ges.er EK,Allocation account for transfers between partner capital accounts
9190,,,,,,,,,,,,,,,,,,,,,"Gegenkto. zu Konten 9101-9107, 9116-9118","Contra account for statistical quantity units, accounts 9101-9107"
9199,,,,,,,,,,,,,,,,,,,,,"Gegenkonto zu Konten 9120, 9135-9140","Contra account for accounts 9120, 9135-9140 and accounts 9116-9116"
9200,,,,,,,,,,,,,,,,,,,,,Beschäftigte Personen (Bilanz),Number of employees 9201 Statistical accounts for balance sheet/ management accounting ratios and indicators
9209,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu 9200,Contra account for 9200
9210,,,,,,,,,,,,,,,,,,,,,Produktive Löhne,Direct labour costs
9219,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu 9210,Contra account for 9210
9220,,,,,,,,,,,,,,,,,,,,,Gez. Kapital in DM Art. 42 (3) S.1 EGHGB,Subscribed capital in DM (art. 42(3) s. 1 EGHGB)
9229,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu Konto 9220,Contra account for 9220
9240,,,,,,,,,,,,,,,,,,,,,Investitionsverbindlichk.b.Leistg.Verb.,Investment liabilities in trade payables
9241,,,,,,,,,,,,,,,,,,,,,Investitionsverbindlichk. Sachanlagen,Investment liabilities from tangible fixed asset purchases in trade payables
9242,,,,,,,,,,,,,,,,,,,,,Investitionsverbindlichk. immat. VG,Investment liabilities from intangible fixed asset purchases in trade payables
9243,,,,,,,,,,,,,,,,,,,,,Investitionsverbindlichk. Finanzanlagen,Investment liabilities from long-term financial asset purchases in trade payables
9244,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu Konten 9240 - 43,Contra account for accounts 9240-9243
9245,,,,,,,,,,,,,,,,,,,,,Forderungen Sachanlagenverkäufe,Receivables from tangible fixed asset sales in other assets
9246,,,,,,,,,,,,,,,,,,,,,Forderungen Verkäufe immat.Vermögensg.,Receivables from intangible fixed asset sales in other assets
9247,,,,,,,,,,,,,,,,,,,,,Forderungen Verkäufe von Finanzanlagen,Receivables from long-term financial asset sales in other assets
9249,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu Konten 9245 - 47,Contra account for accounts 9245-9247
9258,,,,,,,,,,,,,,,,,,,,,Änd.Ausgl.posten ohne Erg.Körperschaften,Change tax adjustment item (without appropriation of net profit corporations)
9259,,,,,,,,,,,,,,,,,,,,,Änd.Ausgl.posten ohne Erg.Pers.gesellsch,"Change tax adjustment item (without appropriation of net profit partnerships, sole proprietorships)"
9260,,,,,,,,,,,,,,,,,,,,,Kurzfristige Rückstellungen,Short-term provisions
9262,,,,,,,,,,,,,,,,,,,,,Mittelfristige Rückstellungen,Medium-term provisions
9264,,,,,,,,,,,,,,,,,,,,,Langfristige Rückstellung o.Pensionen,"Long-term provisions, excluding pensions"
9269,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu Konten 9260-9268,Contra account for accounts 9260-9268
9270,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu Konten 9271-9279,Contra account for 9271-9279 (debit entries)
9271,,,,,,,,,,,,,,,,,,,,,Verbindl. Wechselbegebung/-übertragung,Contingent liabilities from the issuance and transfer of bills
9272,,,,,,,,,,,,,,,,,,,,,Verbindl. Wechsel verb./assoziierte UN,Contingent liabilities to affiliated companies/associates from issuance and transfer of bills
9273,,,,,,,,,,,,,,,,,,,,,"Verbindl. Bürgsch.,Wechsel-/Scheckbürg.","Contingent liabilities from guarantees, bill and cheque guarantees"
9274,,,,,,,,,,,,,,,,,,,,,Verbindl.Bürgschaft verb./assoziierte UN,"Contingent liabilities to affiliated companies/associates from guarantees, bill and cheque guarantees"
9275,,,,,,,,,,,,,,,,,,,,,Verbindl.a. Gewährleistungsverträgen,Contingent liabilities from warranties
9276,,,,,,,,,,,,,,,,,,,,,Verbindl. Gewährleistg. verb./assoz. UN,Contingent liabilities to affiliated companies/associates from warranties
9277,,,,,,,,,,,,,,,,,,,,,Haftung fremde Verbindlichkeiten,Contingent liabilities from the granting of security for third-party liabilities
9278,,,,,,,,,,,,,,,,,,,,,Haftung Verbindl. verb./assoziierte UN,Contingent liabilities to affiliated companies/associates from the granting of security for thirdparty liabilities
9279,,,,,,,,,,,,,,,,,,,,,Verpflichtungen aus Treuhandvermögen,Contingent liabilities from assets held in trust
9280,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu Konten 9281-9284,Contra account for 9281-9284
9281,,,,,,,,,,,,,,,,,,,,,Verpflichtungen Leasing u.Mietverträgen,Obligations arising from rental agreements and leases
9282,,,,,,,,,,,,,,,,,,,,,Verpflichtungen Leasing-/Mietvertr.v.UN,Obligations to affiliated companies arising from rental agreements and leases
9283,,,,,,,,,,,,,,,,,,,,,Andere Verpflichtungen § 285 Nr. 3a HGB,Other obligations under section 285 no. 3a HGB
9284,,,,,,,,,,,,,,,,,,,,,Andere Verpflichtg. §285 Nr. 3a HGB v.UN,Other obligations to affiliated companies under section 285 no. 3a HGB
9285,,,,,,,,,,,,,,,,,,,,,UB Abzinsg Altersversorg. § 253 (6) HGB,Difference of discounting of post-employment benefit obligations under section 253 (6) HGB (credit balance)
9286,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu 9285,Contra account for 9285
9287,,,,,,,,,,,,,,,,,,,,,Zinsen Debitoren Buchung § 4 (3) EStG,"Interest for postings via receivables, section 4(3) EStG"
9288,,,,,,,,,,,,,,,,,,,,,Mahngeb. Debitoren Buchung § 4 (3) EStG,"Dunning fees for postings via receivables, section 4(3) EStG"
9289,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu Konto 9287 und 9288,Contra account for 9287
9290,,,,,,,,,,,,,,,,,,,,,Statistisches Konto steuerfreie Auslagen,Statistical account for tax-exempt out-ofpocket expenses
9291,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu 9290,Contra account for 9290
9292,,,,,,,,,,,,,,,,,,,,,Statistisches Konto Fremdgeld,Statistical account for third-party funds
9293,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu 9292,Contra account for 9292
9295,,,,,,,,,,,,,,,,,,,,,Einlagen atypisch stiller Gesellschafter,Contributions by atypical silent partners
9297,,,,,,,,,,,,,,,,,,,,,Steuerlicher Ausgl.posten Körperschaften,Tax adjustment item (corporations)
9298,,,,,,,,,,,,,,,,,,,,,Steuerlicher Ausgleichsposten Vollhafter,"Tax adjustment item GP (partnerships, sole proprietorships)"
9299,,,,,,,,,,,,,,,,,,,,,Steuerlicher Ausgleichsposten Teilhafter,Tax adjustment item LP (partnerships)
9400,,,,,,,,,,,,,,,,,,,,,"Privatentnahmen allgemein (TH), EK","Private withdrawals, general, lp"
9410,,,,,,,,,,,,,,,,,,,,,"Privatsteuern (TH), EK","Private taxes, lp 9411"
9420,,,,,,,,,,,,,,,,,,,,,"Sonderausg. beschränkt abzugsf. (TH), EK","Special personal deductions, partly deductible, lp"
9430,,,,,,,,,,,,,,,,,,,,,"Sonderausg. unbeschr. abzugsf. (TH), EK","Special personal deductions, fully deductible, lp"
9440,,,,,,,,,,,,,,,,,,,,,"Zuwendungen, Spenden (TH), EK","Non-cash benefits, donations, lp"
9450,,,,,,,,,,,,,,,,,,,,,"Außergewöhnliche Belastungen (TH), EK","Extraordinary expenses, lp"
9460,,,,,,,,,,,,,,,,,,,,,"Grundstücksaufwand (TH), EK","Real estate expenses, lp"
9470,,,,,,,,,,,,,,,,,,,,,"Grundstücksertrag (TH), EK","Income from real estate, lp"
9480,,,,,,,,,,,,,,,,,,,,,"Unentgeltliche Wertabgaben (TH), EK","Non-cash withdrawals, lp"
9490,,,,,,,,,,,,,,,,,,,,,"Privateinlagen (TH), EK","Private contributions, lp"
9500,,,,,,,,,,,,,,,,,,,,,Anteil für Konto 0900 (TH) Kom.Kapital,"Allocation to account 0900, limited partner"
9510,,,,,,,,,,,,,,,,,,,,,Anteil für Konto 0910 (TH) Verlustausgl.,"Allocation to account 0910, limited partner"
9520,,,,,,,,,,,,,,,,,,,,,Anteil f.Konto 0920 (TH) Gesellsch.Darl.,"Allocation to account 0920, limited partner"
9530,,,,,,,,,,,,,,,,,,,,,Ant.für Kto.9950 (TH) Ausst.Einl.Kap.,"Allocation to account 9950, limited partner"
9540,,,,,,,,,,,,,,,,,,,,,Ant.für Kto.9930 (VH) Ausst.Einl.Kap.,"Allocation to account 9930, general partner"
9550,,,,,,,,,,,,,,,,,,,,,Anteil für Konto 9810 (VH) Kap.Konto III,"Allocation to account 9810, general partner"
9560,,,,,,,,,,,,,,,,,,,,,Anteil für Konto 9820 (VH) Verlustvortr.,"Allocation to account 9820, general partner"
9570,,,,,,,,,,,,,,,,,,,,,Anteil für Konto 0870 (VH) Festkapital,"Allocation to account 0870, general partner"
9580,,,,,,,,,,,,,,,,,,,,,Anteil für Konto 0880 (VH) Var.Kapital,"Allocation to account 0880, general partner"
9590,,,,,,,,,,,,,,,,,,,,,Anteil f.Konto 0890 (VH) Gesellsch.Darl.,"Allocation to account 0890, general partner"
9610,,,,,,,,,,,,,,,,,,,,,Tätigkeitsvergütung (VH),"Remuneration of work performed, general partner"
9620,,,,,,,,,,,,,,,,,,,,,Tantieme (VH),"Management bonus, general partner"
9630,,,,,,,,,,,,,,,,,,,,,Darlehensverzinsung (VH),"Loan interest, general partner"
9640,,,,,,,,,,,,,,,,,,,,,Gebrauchsüberlassung (VH),"Transfer for use, general partner"
9650,,,,,,,,,,,,,,,,,,,,,Sonstige Vergütungen (VH),"Other remuneration, general partner"
9690,,,,,,,,,,,,,,,,,,,,,Restanteil (VH),"Residual allocation, general partner"
9710,,,,,,,,,,,,,,,,,,,,,Tätigkeitsvergütung (TH),"Remuneration of work performed, limited partner"
9720,,,,,,,,,,,,,,,,,,,,,Tantieme (TH),"Management bonus, limited partner"
9730,,,,,,,,,,,,,,,,,,,,,Darlehensverzinsung (TH),"Loan interest, limited partner"
9740,,,,,,,,,,,,,,,,,,,,,Gebrauchsüberlassung (TH),"Transfer for use, limited partner"
9750,,,,,,,,,,,,,,,,,,,,,Sonstige Vergütungen (TH),"Other remuneration, limited partner"
9780,,,,,,,,,,,,,,,,,,,,,Anteil für Konto 9840 (TH) Kap.Konto III,"Allocation to account 9840, limited partner"
9790,,,,,,,,,,,,,,,,,,,,,Restanteil (TH),"Remaining allocation, limited partner"
9802,,,,,,,,,,,,,,,,,,,,,Rücklagen - andere Kapitalanpassung,Collectively held reserves other capital account adjustments
9803,,,,,,,,,,,,,,,,,,,,,Gewinn-/Verlustvortrag -and.Kap.anpass,Retained profits/ accumulated losses brought forward other capital account adjustments
9804,,,,,,,,,,,,,,,,,,,,,Rücklagen - Umbuchungen,Collectively held reserves transfers
9805,,,,,,,,,,,,,,,,,,,,,Gewinn-/Verlustvortrag - Umbuchungen,Retained profits/ accumulated losses brought forward transfers
9806,,,,,,,,,,,,,,,,,,,,,Anteil Jahresüberschuss/-fehlbetrag,Attributable share of net income/net loss for financial year per partner
9807,,,,,,,,,,,,,,,,,,,,,Anteil Bilanzgewinn/-verlust je Ges.er,Attributable share of net retained profits/net accumulated losses per partner
9808,,,,,,,,,,,,,,,,,,,,,Gg.Kto Verteilung Jahresübersch/-fehlb,Contra account for attributable share of net income/net loss for financial year
9809,,,,,,,,,,,,,,,,,,,,,Gg.Kto Verteilung Bilanzgew./-verlust,Contra account for attributable share of net retained profits/net accumulated losses
9810,,,,,,,,,,,,,,,,,,,,,"Kapitalkonto III (VH), EK","Capital accounts III, gp"
9820,,,,,,,,,,,,,,,,,,,,,Verlust-/Vortragskonto (VH),"Accumulated loss carryforward account, gp"
9830,,,,,,,,,,,,,,,,,,,,,Verrkto Einzahlungsverpflichtungen (VH),"Allocation account for call obligations, gp"
9840,,,,,,,,,,,,,,,,,,,,,"Kapitalkonto III (TH), EK","Capital accounts III, lp"
9850,,,,,,,,,,,,,,,,,,,,,Verrkto Einzahlungsverpflichtungen (TH),"Allocation account for call obligations, lp"
9860,,,,,,,,,,,,,,,,,,,,,Einz.Verpfl.pers.haft.Gesellsch. (VH),"Call obligations of general partners, gp"
9870,,,,,,,,,,,,,,,,,,,,,Einz.Verpfl.Kommanditisten (TH),"Call obligations of limited partners, lp"
9880,,,,,,,,,,,,,,,,,,,,,Ausgleichsposten f. aktiv. eig. Anteile,Special reserve for capitalised own shares
9883,,,,,,,,,,,,,,,,,,,,,Ungedeckte Entnahme p. haft. Gesellsch.,Withdrawals by general partners not covered by capital contributions
9884,,,,,,,,,,,,,,,,,,,,,Ungedeckte Entnahme Kommanditisten,Withdrawals by limited partners not covered by capital contributions
9885,,,,,,,,,,,,,,,,,,,,,Verr.kto ungedeckte Entnahme p.haft.Ges.,Allocation account for withdrawals by general partners not covered by capital contributions
9886,,,,,,,,,,,,,,,,,,,,,Verr.kto ungedeckte Entnahme Kommandit.,Allocation account for withdrawals by limited partners not covered by capital contributions
9887,,,,,,,,,,,,,,,,,,,,,Steueraufwand der Gesellschafter,Partners’ tax expense
9889,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu 9887,Contra account for 9887
9890,,,,,,,,,,,,,,,,,,,,,"Gewinnzuschlag §§ 6b, 6c EStG (Haben)","Statistical account for profit mark-up under sections 6b, 6c EStG (credit balance)"
9891,,,,,,,,,,,,,,,,,,,,,"Gewinnzuschlag §§ 6b, 6c EStG (Soll)","Statistical account for profit mark-up under sections 6b, 6c EStG (debit balance) Contra account for 9890"
9892,,,,,,,,,,,,,,,,,,,,,Veränderung gesamthänd. geb. Rücklagen,Change of collectively held reserves (contributions/withdrawals)
9893,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer in Forderungen allg. Satz,VAT in receivables at general VAT rate (cash basis accounting)
9894,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer in Forderungen ermäß. Satz,VAT in receivables at reduced VAT rate (cash basis accounting)
9895,,,,,,,,,,,,,,,,,,,,,Gegenkonto Aufteilung Umsatzsteuer,Contra account 98939894 for allocation of VAT (cash basis accounting)
9896,,,,,,,,,,,,,,,,,,,,,Vorsteuer in Verbindl. allgem. Satz,Input tax in liabilities at general VAT rate (cash basis accounting)
9897,,,,,,,,,,,,,,,,,,,,,Vorsteuer in Verbindl. ermäßig. Satz,Input tax in liabilities at reduced VAT rate (cash basis accounting)
9898,,,,,,,,,,,,,,,,,,,,,Vorsteuer in Verbindl.aus versch.Kosten,Input tax in liabilities from various costs (cash basis accounting)
9899,,,,,,,,,,,,,,,,,,,,,Gegenkonto Aufteilung Vorsteuer,Contra account 98969897 for allocation of input tax (cash basis accounting)
9900,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nicht fällig - sonst.Erlöse,VAT not due other revenues (cash basis accounting)
9901,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu 9900,Contra account for 9900
9902,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer in Ford. aus sonst.Erlösen,VAT in receivables from other revenues (cash basis accounting)
9910,,,,,,,,,,,,,,,,,,,,,Gegenkto.Minderg Entnahmen § 4 (4a) EStG,"Contra account for reduction in withdrawals, section 4(4a) EStG"
9911,,,,,,,,,,,,,,,,,,,,,"Minderung Entnahmen § 4 (4a) EStG, (H)","Reduction in withdrawals, section 4(4a) EStG (credit balance)"
9912,,,,,,,,,,,,,,,,,,,,,Erhöhung Entnahmen § 4 (4a) EStG,"Increase in withdrawals, section 4(4a) EStG"
9913,,,,,,,,,,,,,,,,,,,,,"Gegenkto.Erhöhg Entnahmen §4 (4a) EStG,H","Contra account for increase in withdrawals, section 4(4a) EStG (credit balance)"
9914,,,,,,,,,,,,,,,,,,,,,"Hinzurg IAB §7g (2) EStG aus 4. WJ, (H)","Add-back of investment deduction section 7g (2) EStG from four tax years ago, off-balance sheet (credit balance)"
9915,,,,,,,,,,,,,,,,,,,,,"Rückgängigm.IAB § 7g (3,4) EStG im 4.WJ.","Reversal of investment deduction section 7g (3), (4) EStG from four tax years ago, off-balance sheet"
9916,,,,,,,,,,,,,,,,,,,,,"Hinzurg IAB §7g (2) EStG aus 2. WJ, (H)","Reversal of investment deduction section 7g (3), (4) EStG from four tax years ago, off-balance sheet"
9917,,,,,,,,,,,,,,,,,,,,,Hinzurg IAB §7g (2) EStG aus 3. WJ. (H),"Add-back of investment deduction section 7g (2) EStG from three tax years ago, off-balance sheet (credit balance)"
9918,,,,,,,,,,,,,,,,,,,,,"Rückgängigm.IAB § 7g (3,4) EStG im 2.WJ.","Reversal of investment deduction section 7g (3), (4) EStG from two tax years ago, off-balance sheet"
9919,,,,,,,,,,,,,,,,,,,,,"Rückgängigm.IAB § 7g (3,4) EStG im 3.WJ.","Reversal of investment deduction section 7g (3), (4) EStG from three tax years ago, off-balance sheet"
9920,,,,,,,,,,,,,,,,,,,,,"Ausst.Einl.Komplementär, n.eingef. (VH)","Unpaid uncalled contributions to general partner capital, gp"
9930,,,,,,,,,,,,,,,,,,,,,"Ausst.Einl.Komplementär, eingef. (VH)","Unpaid called contributions to general partner capital, gp"
9940,,,,,,,,,,,,,,,,,,,,,"Ausst.Einl.Kommanditist, n.eingef. (TH)","Unpaid uncalled contributions to limited partner capital, lp"
9950,,,,,,,,,,,,,,,,,,,,,"Ausst.Einl.Kommanditist, eingef. (TH)","Unpaid called contributions to limited partner capital, lp"
9960,,,,,,,,,,,,,,,,,,,,,Bewertungskorrektur zu Forderungen L+L,"Valuation adjustment, trade receivables"
9961,,,,,,,,,,,,,,,,,,,,,Bewertungskorrektur zu sonst. Verbindl.,"Valuation adjustment, other liabilities"
9962,,,,,,,,,,,,,,,,,,,,,Bewertungskorrektur Guth. Kreditinstitut,"Valuation adjustment, bank balances"
9963,,,,,,,,,,,,,,,,,,,,,Bewertungskorr. Verbindl.Kreditinstitut,"Valuation adjustment, liabilities to banks"
9964,,,,,,,,,,,,,,,,,,,,,Bewertungskorrektur zu Verbindlichk. L+L,"Valuation adjustment, trade payables"
9965,,,,,,,,,,,,,,,,,,,,,Bewertungskorrektur zu sonstigen VermG,"Valuation adjustment, other assets"
9968,,,,,,,,,,,,,,,,,,,,,"Hinzurg IAB §7g (2) EStG aus 5. WJ, (H)","Add-back of investment deduction section 7g (2) EStG from five tax years ago, off-balance sheet (credit balance)"
9969,,,,,,,,,,,,,,,,,,,,,"Rückgängigm.IAB § 7g (3,4) EStG im 5.WJ.","Reversal of investment deduction section 7g (3), (4) EStG from five tax years ago, off-balance sheet"
9970,,,,,,,,,,,,,,,,,,,,,"IAB § 7g (1) EStG, (S)","Investment deduction section 7g(1) EStG, offbalance sheet (debit balance)"
9971,,,,,,,,,,,,,,,,,,,,,"IAB § 7g (1) EStG, (H),Gegenkto zu 9970","Investment deduction section 7g(1) EStG, offbalance sheet (credit balance) contra account for 9970"
9972,,,,,,,,,,,,,,,,,,,,,"Hinzurg.IAB § 7g (2)EStG, vorang. WJ (H)","Add-back of investment deduction section 7g (2) EStG from preceding tax year, off-balance sheet (credit balance)"
9973,,,,,,,,,,,,,,,,,,,,,"Gkto. Hinzurg. IAB § 7g (2) EStG, (S)","Add-back of investment deduction section 7g (2) EStG from previous tax years, off-balance sheet (debit balance) contra account for 9972, 9914,"
9974,,,,,,,,,,,,,,,,,,,,,"Rückgängigm.IAB §7g (3,4) EStG i.vor. WJ","Reversal of investment deduction section 7g (3), (4) EStG in preceding tax year"
9975,,,,,,,,,,,,,,,,,,,,,"Gkto. Rückgängigm. IAB § 7g (3,4) EStG","Reversal of investment deduction section 7g (3), (4) EStG in previous tax years contra account for 9974, 9915,"
9976,,,,,,,,,,,,,,,,,,,,,"Nicht abzugsf. Zinsaufw. § 4h EStG, (H)",Non-deductible interest expenses under section 4h EStG (credit balance)
9977,,,,,,,,,,,,,,,,,,,,,"Nicht abzugsf. Zinsaufw. § 4h EStG, (S)",Non-deductible interest expenses under section 4h EStG (debit balance)
9978,,,,,,,,,,,,,,,,,,,,,"Abziehb. Zinsaufw. VJ § 4h EStG, (S)",Deductible interest expenses from prior years under section 4h EStG (debit balance)
9979,,,,,,,,,,,,,,,,,,,,,"Abziehb. Zinsaufw. VJ § 4h EStG, (H)",Deductible interest expenses from prior years under section 4h EStG (credit balance) contra account for 9978
9980,,,,,,,,,,,,,,,,,,,,,Anteil Belastung auf Verbindl.konten,Allocation of debit entry to liability accounts
9981,,,,,,,,,,,,,,,,,,,,,Verr.kto. Anteil Belastung Verb.konten,Allocation account for allocation of debit entry to liability accounts
9982,,,,,,,,,,,,,,,,,,,,,Anteil Gutschrift auf Verbindl.konten,Allocation of credit entry to liability accounts
9983,,,,,,,,,,,,,,,,,,,,,Verr.kto Anteil Gutschrift Verb.konten,Allocation account for allocation of credit entry to liability accounts
9984,,,,,,,,,,,,,,,,,,,,,Gewinnkorrektur § 60 (2) EStDV,Adjustment of profit under section 60(2) EStDV increase in accounting profit due to credit entry reduction in accounting profit due to debit entry
